#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
fac69552.0,Khao do ngoi,Lao People's Democratic Republic,IRGC 29772-1,RDP2,admixed-jap
fb149ca1.0,KOUNDARA,Guinea,IRGC 66424-1,RDP2,admixed-ind
fb2aa5d5.0,ROVUMA,Portugal,GERVEX 1245-C1,RDP2,admixed-jap
fb625f89.0,DA 9,Bangladesh,NA,RDP2,ind3
fb72ce06.0,KARASUKARA SURANKASU,Taiwan,IRGC 8196-C1,RDP2,admixed-jap
fb76a962.0,IRAT 144,Ghana,IRGC 55685-C1,RDP2,trj
fc0fafc3.0,BENGALY VAKARINA,Madagascar,GERVEX 4750-C1,RDP2,trj
fc35144a.0,CARINA,Bulgaria,GERVEX 826-C1,RDP2,tej
fc730730.0,P. TINGAGEW DAYKET QAY DAYON,Philippines,IRGC 8046-1,RDP2,trj
fd06d669.0,SML 81 B,Surinam,IRGC 393-1,RDP2,admixed
fd1ba9ba.0,BLUEBONNET 50,United States of America,IRGC 1811-1,RDP2,trj
fd27d1db.0,LALKA BAWOG,India,IRGC 53909-1,RDP2,ind3
fd96414a.0,IR 77384-12-35-3-12-1-B,Philippines,IRGC 117299-1,RDP2,ind2
fd9d3be2.0,JC 93,India,NA,RDP2,ind3
fdbd830a.0,VARY LAVA,Madagascar,IRGC 11033-1,RDP2,admixed-ind
fe21ae22.0,P 5589-1-1-3-P,Colombia,C1,RDP2,trj
fe449c4c.0,IR 60080-46 A,Philippines,NA,RDP2,trj
fe614ecb.0,BADA DHAN,Bangladesh,IRGC 26540-1,RDP2,ind3
fe887bb9.0,IRAT 364,Nicaragua,GERVEX 8714-C1,RDP2,trj
fe9ef786.0,ZAO SHAO ZHAN,China,IRGC 68318-1,RDP2,ind1
feb86631.0,JANTROCEROS KORN,Portugal,IRGC 3193-1,RDP2,tej
edd916ea.0,GAMBIAKA,Burkina Faso,GERVEX 7920-C1,RDP2,admixed-ind
ab2b15a5.0,ANGIFOTSY 685,Madagascar,GERVEX 4717-C1,RDP2,admixed-ind
df6b58b1.0,BETSILAIZINA,Madagascar,GERVEX 8405-C1,RDP2,admixed-jap
0f0dc04a.0,BOTOHAVANA 139,Madagascar,GERVEX 8237-C1,RDP2,admixed-ind
36e3092d.0,BOTRA MAITSO,Madagascar,GERVEX 8389-C1,RDP2,admixed-ind
fd0165e0.0,CICA 8,Colombia,C1,RDP2,admixed-ind
c979ccb5.0,CT 6510-24-1-2,Colombia,C1,RDP2,ind2
0634f5e4.0,DANAU LAUT TAWAR,Indonesia,C1,RDP2,ind2
4f15d8d7.0,H 15-23-DA,Mali,C1,RDP2,ind3
435c63e3.0,IR 1561-228-3-3,Philippines,IRGC 32627-C1,RDP2,admixed-ind
f4ced436.0,IR 19746-28-2-2,Philippines,IRGC 78072-C1,RDP2,admixed-ind
de58a972.0,IR 22,Philippines,IRGC 11356-C1,RDP2,ind2
4f531512.0,IR 2307-247-2-2-3,Philippines,IRGC 77982-C1,RDP2,ind2
1d7b66ea.0,IR 2344-P1 PB-9-3-2B,Philippines,IRGC 39317-C1,RDP2,admixed-ind
ebb77186.0,IR 55411-50,Philippines,IRTP 16682-C1,RDP2,ind2
435bedf1.0,IR 57920-AC 25-2-B,Philippines,C1,RDP2,ind2
6c6075ef.0,IR 57924-24,Philippines,IRTP 16675-C1,RDP2,ind2
1b9287de.0,KOGONI 91-1,Mali,C1,RDP2,admixed-ind
9fcc2af2.0,LAITRA,Madagascar,GERVEX 8400-C1,RDP2,ind3
57266d87.0,LATSIBOZAKA 112-1,Madagascar,GERVEX 8233-C1,RDP2,admixed-jap
69c2299e.0,MADINIKA 1329,Madagascar,GERVEX 8366-C1,RDP2,ind3
cbe9c062.0,MAMORIAKA 114,Madagascar,GERVEX 5176-C1,RDP2,ind3
e08d59cf.0,NONA BOKRA,India,IRGC 22710-C1,RDP2,ind3
